Title,Authors,Journal
Right N170 modulation in a face discrimination task: An account for categorical perception of familiar faces,"Campanella, Salvatore; Hanoteau, C; Dépy, D; Rossion, B; Bruyer, R; et al.","Psychophysiology Vol. 37, Iss. 6,  (Nov 2000): 796-806."
Hierarchical processing and level-repetition effect as indexed by early brain potentials,"Han, Shihui; He, Xun; Woods, David L.","Psychophysiology Vol. 37, Iss. 6,  (Nov 2000): 817-830."
