Title,Authors,Journal
High Resolution Spatlo-Temporal EEG-MEG Analysis of Rolandic Spikes,"Huiskamp, G; van der Meij, W; van Huffelen, A; van Nieuwenhuizen, O.","Journal of Clinical Neurophysiology Vol. 21, Iss. 2,  (Apr 2004): 84-95."
Support vector channel selection in BCI,"Lal, T N; Schroder, M; Hinterberger, T; Weston, J; Bogdan, M; et al.","IEEE Transactions on Biomedical Engineering Vol. 51, Iss. 6,  (2004)."
Support vector channel selection in BCI,"Lai, T N; Schroder, M; Hinterberger, T; Weston, J; Bogdan, M; et al.","IEEE Transactions on Biomedical Engineering Vol. 51, Iss. 6,  (Jun 2004): 1003-1010. [Duplicate]"
Neural Correlates of Mental State Decoding in Human Adults: An Event-related Potential Study,"Sabbagh, Mark A; Moulson, Margaret C; Harkness, Kate L.","Journal of Cognitive Neuroscience Vol. 16, Iss. 3,  (Apr 2004): 415-426."
